# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.5
# for k=1.05392e-05 to 105.5 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       3.388889610125e-01       2.846120900900e+02      -5.124581555291e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.462190747059e+02 
       3.504818902473e-01       2.917343905918e+02      -5.086366281399e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       4.141343759441e+02 
       3.625447728490e-01       2.955876758129e+02      -5.059253410598e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.848719539285e+02 
       3.751146847558e-01       2.914365236373e+02      -5.069107081337e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.602288192591e+02 
       3.882348848407e-01       2.849225284397e+02      -5.088414138739e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.375882856390e+02 
       4.019562528021e-01       2.812054076488e+02      -5.090053938901e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       3.150433454579e+02 
       4.163391668784e-01       2.823930752160e+02      -5.061478101137e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.920359419788e+02 
       4.314559942899e-01       2.818734339876e+02      -5.036486876858e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.705261989486e+02 
       4.473944509880e-01       2.765752142683e+02      -5.031420677986e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.513621161274e+02 
       4.642622201314e-01       2.712388322100e+02      -5.022757785482e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.330371932095e+02 
       4.821934354078e-01       2.677510697764e+02      -4.999998029287e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       2.150487698484e+02 
       5.013579996608e-01       2.647629519952e+02      -4.969063389744e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.976904096376e+02 
       5.219753429807e-01       2.585878967686e+02      -4.948884682987e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.816229203988e+02 
       5.443353695948e-01       2.524034032279e+02      -4.922958967667e+01       3.007630000000e+06      -3.007629699237e+00      -3.007630000000e-07       3.007630000000e+06      -3.007630000000e+06      -3.007630000000e-07       1.661601012736e+02 
